,question,answer,language,section,wrong_answer
0,什么是新型冠状病毒？,"新型冠状病毒是一种此前尚未确定的新冠状病毒。导致新型冠状病毒肺炎 | 新冠肺炎2019（COVID-19）的病毒不同于在人类中普遍传播并仅引起轻度疾病的冠状病毒，例如普通感冒。 
冠状病毒  229E、NL63、OC43 或 HKU1 的诊断与 COVID-19 的诊断不同。COVID-19 患者将接受不同于常见冠状病毒确诊患者的评估和护理。",chinese,Frequently Asked Questions,"使用 CDC 开发的诊断检测，结果为阴性是指在受测者样本中未发现导致 COVID-19 的病毒。在感染的早期阶段，有可能检测不到病毒。
对于 COVID-19，一个人在出现症状时所采集的样本的检测结果为阴性可能意味着当前疾病并非由 COVID-19 病毒引起。"
1,为什么这种疾病被称为 2019 年新型冠状病毒肺炎（COVID-19）？,"2020 年 2 月 11 日，世界卫生组织宣布了导致最初于中国武汉发现的 2019 年新型冠状病毒爆发的疾病官方名称。该疾病的新名称是新型冠状病毒肺炎2019，缩写为 COVID-19。在 COVID-19 中，“CO”代表“冠状”、“VI”代表“病毒”，以及“D”代表“疾病”。该疾病此前被称为“2019 年新型冠状病毒”或“2019-nCoV”。 
人类冠状病毒有很多种，其中一些通常导致轻度上呼吸道疾病。COVID-19是一种由此前尚未在人体中发现的新型（或新的）冠状病毒引起的新疾病。此疾病名称根据世界卫生组织（WHO）新型人类传染疾病命名最佳实践external iconexternal icon而定。  ",chinese,Frequently Asked Questions,"引发COVID-19的病毒被认为主要以人传人的方式，通过感染患者咳嗽或打喷嚏时产生的呼吸道飞沫进行传播。这些飞沫可能附着到附近的人的嘴巴或鼻子上，或者可能被吸入肺部。当人们近距离接触时（约6英尺以内）传播的可能性更高。
COVID-19在很多受影响地区的社区中似乎可以轻易且持续地传播（“社区传播”）。社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处或如何受到感染的人。 
了解新发冠状病毒已知信息。 "
2,为什么有人会因为 COVID-19 而指责或躲避某些个人和群体（制造污名）？,"美国民众可能对住在或前往COVID-19传播地区的亲友感到担心焦虑。有些人很担心通过这些人感染疾病。恐惧和焦虑会导致社会污名化的产生，例如，针对居住在世界某些地方的人、曾在国外旅行的人、曾被隔离的人或医疗护理专业人员。
污名是对可识别的某一人群、地区或国家的歧视。污名化的产生主要是由于缺乏对 COVID-19 的传播方式的认识、指责旁人的欲望、对疾病和死亡的恐惧，以及谣言和谬论的散播。
污名化会伤害到每一个人，因为它使人们对普通民众产生更多的恐惧或愤怒，而并非将注意力放在引起问题的疾病本身。",chinese,Frequently Asked Questions,"目前，没有证据表明COVID-19病毒会从宠物的皮肤或皮毛传播给人类。
关于照顾宠物的最佳方法，请咨询兽医。"
3,人们如何制止与 COVID-19 相关的污名化？,在注意到污名化正在发生的情况下，人们可以通过提供社会支持来对抗污名化。污名会影响被污名化群体及其所在社区的情绪或心理健康。停止污名化对于社区和社区成员的抗压能力很重要。查看有关COVID-19疫情期间的心理健康和应对措施的资源。每个人都可以通过了解事实并与社区中的人分享来帮助阻止有关COVID-19的污名化。   ,chinese,Frequently Asked Questions,洗手是保护您与您的家人远离疾病的最佳途径之一。经常用肥皂和水洗手20秒以上，尤其是擤鼻涕、咳嗽或打喷嚏后、如厕后，以及用餐或做饭前。如果没有现成的肥皂和水，可使用酒精含量至少为60%的免洗手消毒液。
4,为何某些州的COVID-19病例数量有时与CDC网站上发布的数量有差别？,CDC发布的总病例数量依照各辖区的确认程序得以验证。不同的地方所显示的病例数量的发现和确认程序可能有所不同。,chinese,Frequently Asked Questions,"

与孩子的学校保持联系。

很多学校提供网络课程（虚拟学习）。查看学校布置的作业，并帮助您的孩子制定合理的作业进度。您可能需要帮助孩子打开设备、阅读说明和输入答案。
让学校知道您遇到的挑战。如果遇到技术或连接问题，或者您的孩子完成作业有困难，请告知学校。


为在家学习制定一个时间表和日常作息，但要保持灵活性。

周一到周五保持固定的就寝时间和起床时间。
合理安排一天的学习时间、自由活动时间、健康餐饮和零食时间，以及体育锻炼时间。
日程安排可以更有灵活性，可根据您一天的情况随时调整。


考虑您孩子所在年龄层的需要进行调整。

对于学龄前儿童、学前班至5年级小学生、初中生和高中生来说，接受在家学习这种转变的心态会有所不同。和孩子们谈谈他们的期望，以及他们如何适应在家里而不是在学校学习。
想出一些您的孩子可以和朋友不必见面也能保持联系的方式。


寻找让学习具有趣味性的方法。

开展一些动手活动，如拼图、绘画、素描和手工制作。
自主活动也可以代替结构化学习。鼓励孩子们利用纸板筑堡垒或搭积木练习数数。
通过给家人写信来练习书写和语法，这是保持联系并减少见面的一个很好的方式。
和孩子一起开始写日记，记录这次的经历，并谈谈共同的体会。
使用有声读物，或者查看当地的图书馆是否正在举办虚拟或直播的阅读活动。



"
5,CDC发布的COVID-19病例数量与世界卫生组织（WHO）或约翰霍普金斯大学提供的数量有何异同？,CDC发布的COVID-19病例数量包含很多公开报告的数量，包括来自州、地方、领地、国际和外部合作伙伴的信息。,chinese,Frequently Asked Questions,对频繁接触表面进行清洁和消毒，例如桌子、门把手、电灯开关、台面、扶手、书桌、电话、键盘、马桶、水龙头和水槽。如果表面有脏污，消毒之前先使用清洁剂或肥皂和水进行清洁。大多数EPA注册的常见家用消毒剂均可有效地用于消毒。查看CDC关于家庭清洁和消毒的建议。  
6,为何过去几天的病例数量出现了增长？,报告的延迟可能导致过去几天中报告的COVID-19病例数量发生增长。（有时称这种效应为“回填”。）州、地方和领地卫生部门会报告已确认的病例数量，并与CDC分享这些数据。由于开展实验室测试需要一些时间，之前某一天的病例可能会在几天后增加到当天的统计数量中。,chinese,Frequently Asked Questions,有关COVID-19及其传播方式，我们目前仍知之甚少。一般认为，此冠状病毒最主要通过呼吸飞沫传播。尽管此病毒在某些表面上能够存活一段较短的时间，但其不太可能通过在环境温度下已装运数天或数周的产品或包装进行传播。目前没有证据能够证明与进口商品相关的COVID-19传播，而美国也没有任何COVID-19病例与进口商品有关。已获得的相关信息将发布在新型冠状病毒肺炎|新冠病毒2019（COVID-19）网站上。 
7,这种病毒的来源是什么？,COVID-19由名为SARS-CoV-2的冠状病毒引起。冠状病毒是人类和许多不同的动物（包括骆驼、牛、猫和蝙蝠）身上常见的一大类病毒。在极少情况下动物冠状病毒能够感染人类，然后在人与人之间传播。这曾发生在MERS-CoV和SARS-CoV上，而现在又发生在引发COVID-19的病毒上。有关COVID-19来源和传播的更多信息参见疫情概况：病毒的来源和传播。    ,chinese,Frequently Asked Questions,"海外死者的遗体在运回美国之前，CDC 不要求进行尸检。根据死亡的具体情况，有些国家可能要求进行尸检。死者家庭可以向当地领事馆或大使馆、旅行保险提供商、旅行社，宗教组织和援助组织以及死者的雇主寻求支持。期间您可能需要提供死者身份正式鉴定和领事馆签发的官方文件。
CDC 对运送遗体回国的要求取决于遗体是否经过防腐处理、火化，或死者是否死于检疫传染病。 
目前，COVID-19 在美国属于检疫传染病，死者遗体必须符合《美国联邦法规法典》 第42 篇第 71.55 部分中的运回标准，并且必须满足以下情况才可批准、放行和授权遗体进入美国：

遗体已经过火化；或
遗体已经过适当的防腐处理，且置于密封棺材中；或
遗体附有 CDC 主任签发的许可证。遗体在运送期间必须始终随附 CDC 许可证（如适用）。
可以通过 CDC 全球移民与检疫处获得检疫传染病确诊或疑似患者遗体的运回许可证，请拨打 770-488-7100 联系 CDC 紧急应变中心或发送电子邮件至 dgmqpolicyoffice@cdc.gov。 



请参阅 CDC 指南 了解更多信息。 "
8,病毒如何传播？,"引发COVID-19的病毒被认为主要以人传人的方式，通过感染患者咳嗽或打喷嚏时产生的呼吸道飞沫进行传播。这些飞沫可能附着到附近的人的嘴巴或鼻子上，或者可能被吸入肺部。当人们近距离接触时（约6英尺以内）传播的可能性更高。
COVID-19在很多受影响地区的社区中似乎可以轻易且持续地传播（“社区传播”）。社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处或如何受到感染的人。 
了解新发冠状病毒已知信息。 ",chinese,Frequently Asked Questions,据目前报道，COVID-19 患者的症状包括轻度至重度呼吸道疾病，伴有发烧1、咳嗽和呼吸困难。了解更多 COVID-19 症状。 
9,为什么出现病例上升？,美国所报告COVID-19病例数量由于实验室检测增加和全国报告而增加。病例数的增加部分地反映了COVID-19随着美国各州和领地出现社区传播而快速传播。更详细和准确的数据让我们可以更好地理解和追踪疫情爆发规模和范围，进而强化预防和应对工作。  ,chinese,Frequently Asked Questions,有关COVID-19及其传播方式，我们目前仍知之甚少。一般认为，此冠状病毒最主要通过呼吸飞沫传播。尽管此病毒在某些表面上能够存活一段较短的时间，但其不太可能通过在环境温度下已装运数天或数周的产品或包装进行传播。目前没有证据能够证明与进口商品相关的COVID-19传播，而美国也没有任何COVID-19病例与进口商品有关。已获得的相关信息将发布在新型冠状病毒肺炎|新冠病毒2019（COVID-19）网站上。 
